file,line,owner,bound,destination,conditions,input_note
mediator.py,13673,整局截止,round deadline,QUIT；先于聊天/压力等可重复输入,not secret_entry_observation and self._round_deadline is not None and (now >= self._round_deadline),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13685,战后总预算,固定300s，不因输入成功续期,QUIT并记录TIMEOUT,not secret_entry_observation and self._passenger_mode() and (post_game is not None or self._post_game_pending) AND NOT (self._hitch_postgame_started_at is None) AND now - self._hitch_postgame_started_at >= self._HITCH_POSTGAME_HARD_CAP_S,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13765,传家宝等待,广场60s/未知120s,QUIT；instance锁存后等待自身结算,"not secret_entry_observation and self._passenger_mode() and getattr(self, '_hitch_heirloom_exit_since', None) AND NOT (not self._follow_enabled() and self._hitch_left_plaza(frame)) AND loot AND self._follow_enabled() and self.settings.auto_secret_realm",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13771,传家宝等待,广场60s/未知120s,QUIT；instance锁存后等待自身结算,"not secret_entry_observation and self._passenger_mode() and getattr(self, '_hitch_heirloom_exit_since', None) AND NOT (not self._follow_enabled() and self._hitch_left_plaza(frame)) AND loot",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13775,传家宝等待,广场60s/未知120s,QUIT；instance锁存后等待自身结算,"not secret_entry_observation and self._passenger_mode() and getattr(self, '_hitch_heirloom_exit_since', None) AND NOT (not self._follow_enabled() and self._hitch_left_plaza(frame)) AND timer_due AND self._follow_enabled() and self.settings.auto_secret_realm",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13781,传家宝等待,广场60s/未知120s,QUIT；instance锁存后等待自身结算,"not secret_entry_observation and self._passenger_mode() and getattr(self, '_hitch_heirloom_exit_since', None) AND NOT (not self._follow_enabled() and self._hitch_left_plaza(frame)) AND timer_due",可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13791,玩家确认/跟车秘境等待,监督180s或整局截止,game_round仅软复位；其他可升级QUIT,self._passenger_mode() and post_game is None and (self._find_exit_confirm(frame) is not None),可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13793,玩家确认/跟车秘境等待,监督180s或整局截止,game_round仅软复位；其他可升级QUIT,self._passenger_heirloom_for_secret and post_game is None,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13799,失败奖励关闭,战后总预算300s,重复成功点击不续期总预算,fail_gift is not None,可能零输入的保守超集；条件及前文见main_line_returns.csv
mediator.py,13824,游戏难度/误开选关,阶段切换,ROOM_WAITING(600s)/QUIT(240s),self._passenger_mode() and post_game is None and (not self._is_in_game_hud(frame)) and self._host_choosing_difficulty(frame),可能零输入的保守超集；条件及前文见main_line_returns.csv
